business_name,business_url,business_phone,business_address,business_rating,business_review_count,business_price_category,business_neighborhood,business_index
Nespresso Boutique Bar,https://www.yelp.com/adredir?ad_business_id=aZ_7ZNvMHzPUBqMKsD7a9g&campaign_id=uJ7sP80TCeWOiAiKBQJerg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-bar-beverly-hills&request_id=b2301ba4cf875e54&signature=3472bb17e74920e9f6b3aff3e226bda551e116973473746caef742e3ee491761&slot=1,(800) 562-1465,408 N Beverly Dr,3.5,379,"Coffee & Tea, Coffee Roasteries, Cafes",,
Novacane Sports Bar & Grill,https://www.yelp.com/biz/novacane-sports-bar-and-grill-los-angeles,(562) 396-2272,5812 S Santa Fe Ave,4.5,284,"$$Sports Bars, Mexican, Cocktail Bars",,11
Fries First,https://www.yelp.com/biz/fries-first-los-angeles,(510) 213-0780,Serving Los Angeles and the Surrounding Area,5,25,"$$Food Trucks, Waffles, American (Traditional)",Serving Los Angeles and the Surrounding Area,12
Bill’s Drive In,https://www.yelp.com/biz/bills-drive-in-los-angeles,(323) 587-9732,1664 E Florence Ave,4.5,44,$Burgers,Florence-Firestone,13
Meat Bowl,https://www.yelp.com/biz/meat-bowl-south-gate,(323) 581-9623,8122 Long Beach Blvd,4.5,140,$Chinese,,14
Me So Hungry Truck,https://www.yelp.com/biz/me-so-hungry-truck-los-angeles-2,(310) 363-0946,,3.5,268,"$$Food Trucks, Burgers",Florence-Firestone,15
Mad Pambazos,https://www.yelp.com/biz/mad-pambazos-los-angeles,(703) 798-7268,Serving Los Angeles and the Surrounding Area,4.5,33,"$Food Trucks, Sandwiches, Caterers",Serving Los Angeles and the Surrounding Area,16
Granny’s Kitchen,https://www.yelp.com/biz/grannys-kitchen-los-angeles,(323) 231-2141,5440 S Central Ave,4,357,"$$Soul Food, Southern",Central Alameda,17
Jade Siam Restaurants,https://www.yelp.com/biz/jade-siam-restaurants-huntington-park,(323) 589-8391,2570 E Slauson Ave,4,434,"$$Thai, Noodles",,18
Little Trattoria 25,https://www.yelp.com/biz/little-trattoria-25-huntington-park-2,(323) 583-1449,5415 Pacific Blvd,4.5,186,$$Italian,,19
Tierra Mia Coffee,https://www.yelp.com/biz/tierra-mia-coffee-huntington-park,(323) 589-2065,6706 Pacific Blvd,4,268,"$Coffee & Tea, Latin American",,20
Tux & Chucks Street Food,https://www.yelp.com/adredir?ad_business_id=Q2LJScyWKiavKH2i5fjrVw&campaign_id=8qthy-zUsM2jQSjqE68FNw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftux-and-chucks-street-food-long-beach&request_id=b2301ba4cf875e54&signature=62d8428127d7d5748ee5466229f841f56bf586263e7610c5895dda0fe3d58d8d&slot=0,(562) 676-4034,1916 W Willow St,4.5,250,"Asian Fusion, Street Vendors, Tacos",,
Sam’s Club,https://www.yelp.com/adredir?ad_business_id=MDT4sT3e7pn7bsoljX4NWQ&campaign_id=HxNRNqi8az5KNkU6kWpO6Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsams-club-south-gate-2&request_id=1343d1e3262ad6b3&signature=d60eccba3eadbc2f412c164bd9c50740f30cddf5be57456156a98775ca734ebd&slot=0,-3003,5871 Firestone Blvd,,Patisserie/Cake Shop,,,
Nespresso Boutique Bar,https://www.yelp.com/adredir?ad_business_id=aZ_7ZNvMHzPUBqMKsD7a9g&campaign_id=uJ7sP80TCeWOiAiKBQJerg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-bar-beverly-hills&request_id=1343d1e3262ad6b3&signature=4a41ac5d37130d15829089ba1f022aa2143e92af9c8f8261e591d29d5249e26b&slot=1,(800) 562-1465,408 N Beverly Dr,3.5,379,"Coffee Roasteries, Cafes, Coffee & Tea",,
Gloria’s Restaurant & Bar,https://www.yelp.com/biz/glorias-restaurant-and-bar-huntington-park,(323) 581-4781,7823 Pacific Blvd,4,325,"$$Mexican, Bars, Seafood",,21
Mariscos Mi Lindo Nayarit,https://www.yelp.com/biz/mariscos-mi-lindo-nayarit-los-angeles,(323) 589-5109,1020 E Florence Ave,3.5,209,"$$Mexican, Seafood",Florence,22
Dirty South Soulfood,https://www.yelp.com/biz/dirty-south-soulfood-south-gate-2,(323) 537-8007,8101 Long Beach Blvd,4,185,"$$Southern, Soul Food, Buffets",,23
Grilled Fraiche,https://www.yelp.com/biz/grilled-fraiche-los-angeles-4,(323) 744-2100,853 E Manchester Ave,5,49,$$Caribbean,Florence,24
Sweets On Wheels,https://www.yelp.com/biz/sweets-on-wheels-huntington-park-2,(323) 300-4408,7907 Santa Fe Ave,4.5,66,$Desserts,Florence-Firestone,25
Knockout Taco Truck,https://www.yelp.com/biz/knockout-taco-truck-los-angeles-2,(323) 432-7258,,3.5,89,"$Mexican, Food Trucks",Florence-Firestone,26
Los Alpes Ice Cream Parlor,https://www.yelp.com/biz/los-alpes-ice-cream-parlor-huntington-park,(323) 587-4246,6410 Rugby Ave,5,51,"$Ice Cream & Frozen Yogurt, Shaved Ice",,27
Ariya Thai Kitchen,https://www.yelp.com/biz/ariya-thai-kitchen-huntington-park,(323) 589-1245,2560 E Gage Ave,4,191,$$Thai,,28
African Chop,https://www.yelp.com/biz/african-chop-los-angeles,(408) 429-5458,Serving Los Angeles and the Surrounding Area,4.5,26,"Food Trucks, African",Serving Los Angeles and the Surrounding Area,29
Birrieria Tlaquepaque,https://www.yelp.com/biz/birrieria-tlaquepaque-los-angeles-3,(323) 581-0800,1734 E Florence Ave,3.5,90,$$Mexican,Florence-Firestone,30
KFC,https://www.yelp.com/adredir?ad_business_id=-AZ2kWMlpmYhIW_kPFMmLQ&campaign_id=sjq2agorisiRHaqmcrFkrg&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkfc-los-angeles-3&request_id=1343d1e3262ad6b3&signature=c22433114b2bbd1ff3afffe70916ed65a758eadf1680a2406611b27134ee3023&slot=0,(323) 936-8079,1244 S. La Brea Ave,,Chicken Shop,,Mid-Wilshire,
Sam’s Club,https://www.yelp.com/adredir?ad_business_id=MDT4sT3e7pn7bsoljX4NWQ&campaign_id=HxNRNqi8az5KNkU6kWpO6Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsams-club-south-gate-2&request_id=745a492f98cc9204&signature=05cc9a9abf05a91a7520d003651f89def40d37701d6f060a17edc4f224077afe&slot=0,-3003,5871 Firestone Blvd,,"Beer, Wine & Spirits",,,
Nespresso Boutique Bar,https://www.yelp.com/adredir?ad_business_id=aZ_7ZNvMHzPUBqMKsD7a9g&campaign_id=uJ7sP80TCeWOiAiKBQJerg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-bar-beverly-hills&request_id=745a492f98cc9204&signature=dca678ea710bb21908444f594800c2dc5074edc8937f915ef52d224e7697d7a1&slot=1,(800) 562-1465,408 N Beverly Dr,3.5,379,"Coffee & Tea, Coffee Roasteries, Cafes",,
Twinkle Brown Sugar,https://www.yelp.com/biz/twinkle-brown-sugar-huntington-park-2,(323) 553-6077,5922 Pacific Blvd,4.5,109,"$Coffee & Tea, Juice Bars & Smoothies",,31
GaiGan,https://www.yelp.com/biz/gaigan-los-angeles,(818) 625-6535,,5,14,"$$Thai, Street Vendors, Herbs & Spices",Florence-Firestone,32
Boys Burgers,https://www.yelp.com/biz/boys-burgers-los-angeles,(323) 588-0209,1774 E Florence Ave,4,63,$Burgers,Florence-Firestone,33
Vivace,https://www.yelp.com/biz/vivace-los-angeles-2,(310) 483-0024,,4.5,32,"$$Food Trucks, Pizza",Florence-Firestone,34
Casa De Cafe,https://www.yelp.com/biz/casa-de-cafe-huntington-park-2,(323) 440-3324,7100 Pacific Blvd,4,113,$Cafes,,35
Cafeteria America,https://www.yelp.com/biz/cafeteria-america-huntington-park,(323) 582-4710,2558 Saturn Ave,4.5,52,$Korean,,36
El Paraiso Ice Cream & Fruit Bars,https://www.yelp.com/biz/el-paraiso-ice-cream-and-fruit-bars-los-angeles-6,(323) 587-2073,1760 E Florence Ave,4.5,36,"$Ice Cream & Frozen Yogurt, Juice Bars & Smoothies",Florence-Firestone,37
Tacos Arandas,https://www.yelp.com/biz/tacos-arandas-los-angeles,Florence,337 E Florence Ave,4.5,52,"$Mexican, Food Stands",,38
Amigos Donuts,https://www.yelp.com/biz/amigos-donuts-huntington-park-3,(323) 581-6101,6418 Santa Fe Ave,5,30,"$Donuts, Ice Cream & Frozen Yogurt, Sandwiches",,39
8E8 Thai Street Food,https://www.yelp.com/biz/8e8-thai-street-food-los-angeles,(818) 465-5281,Serving Los Angeles and the Surrounding Area,5,45,"Food Trucks, Thai",Serving Los Angeles and the Surrounding Area,40
AC Bar and Lounge,https://www.yelp.com/adredir?ad_business_id=SVgeYBUtFOoWgEJWziMLqQ&campaign_id=g01eF8SZMzmnvjLDBVI6zA&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fac-bar-and-lounge-el-segundo-4&request_id=745a492f98cc9204&signature=f1868b29baf9a1c967b1ccf81703b8f9d0bc00bf376f50cb9378ac2df6c7daf1&slot=0,(310) 322-3333,2130 E Maple Ave,4.5,13,"Lounges, Tapas/Small Plates",,
Nespresso Boutique Bar,https://www.yelp.com/adredir?ad_business_id=aZ_7ZNvMHzPUBqMKsD7a9g&campaign_id=uJ7sP80TCeWOiAiKBQJerg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fnespresso-boutique-bar-beverly-hills&request_id=3c2c78b1e3aa07a7&signature=e65f745c8ae7ec41429b211533f1ee83be30ede5bc8d456bf8465c950a28c9ef&slot=0,(800) 562-1465,408 N Beverly Dr,3.5,379,"Cafes, Coffee & Tea, Coffee Roasteries",,
Sam’s Club,https://www.yelp.com/adredir?ad_business_id=MDT4sT3e7pn7bsoljX4NWQ&campaign_id=HxNRNqi8az5KNkU6kWpO6Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsams-club-south-gate-2&request_id=3c2c78b1e3aa07a7&signature=36965465f630db0405da1bc3d285d3465f87d6820cbd4eef4941c478bf159f04&slot=1,-3003,5871 Firestone Blvd,,"Beer, Wine & Spirits",,,
The Garbage Truck,https://www.yelp.com/biz/the-garbage-truck-los-angeles,(424) 235-0089,,3.5,79,"$Food Trucks, Burgers, Hot Dogs",Florence-Firestone,41
Kream Kong Ice Cream,https://www.yelp.com/biz/kream-kong-ice-cream-los-angeles-2,(626) 322-7657,Serving Los Angeles and the Surrounding Area,5,15,"Ice Cream & Frozen Yogurt, Food Trucks",Serving Los Angeles and the Surrounding Area,42
Cocina Dona Chona,https://www.yelp.com/biz/cocina-dona-chona-los-angeles,(323) 581-3036,1938 E Florence Ave,4.5,32,$Mexican,Florence-Firestone,43
The Original Snack Shack,https://www.yelp.com/biz/the-original-snack-shack-los-angeles,(323) 233-3509,5630 S Central Ave,4.5,45,$Burgers,Central Alameda,44
Birreria El Guero,https://www.yelp.com/biz/birreria-el-guero-huntington-park,(323) 582-7235,6365 S Alameda St,4,47,$Mexican,,45
El Senor Taco,https://www.yelp.com/biz/el-senor-taco-los-angeles,(323) 582-4709,1517 E Florence Ave,3.5,63,$Mexican,Florence-Firestone,46
Las Islitas No 1,https://www.yelp.com/biz/las-islitas-no-1-los-angeles,(323) 234-8007,5875 Hooper Ave,4,78,$$Mexican,Florence-Firestone,47
Oh Manna Fish Market,https://www.yelp.com/biz/oh-manna-fish-market-los-angeles,(323) 581-2145,803 E Manchester Ave,4.5,52,"$Seafood Markets, American (Traditional)",Florence,48
Andy’s Pizzeria And Mexican Food,https://www.yelp.com/biz/andys-pizzeria-and-mexican-food-los-angeles,(323) 537-2240,6700 S Central Ave,4,52,"$Pizza, Mexican",Florence-Firestone,49
Hana Teppanyaki,https://www.yelp.com/biz/hana-teppanyaki-huntington-park,(323) 587-5888,6330 Pacific Blvd,4.5,42,Teppanyaki,,50
Cassidy’s Corner Cafe,https://www.yelp.com/adredir?ad_business_id=5pZV8RyrsvWSvAJf29pHKQ&campaign_id=JAqlAdqzUg3kCe-pOePyQw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fcassidy-s-corner-cafe-long-beach&request_id=3c2c78b1e3aa07a7&signature=ad9d49e56dda05f4b15a22c492b300a57a09f036416f0dfbaaad44647a2b027f&slot=0,(562) 273-2329,3846 Atlantic Ave,4.5,71,"Donuts, Cafes, Bagels",,
Starbucks,https://www.yelp.com/adredir?ad_business_id=FkmmAZYN6o3gyE3FboqPHA&campaign_id=8yOkIT-TDS69S0Z0WAJP9Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fstarbucks-los-angeles-167&request_id=db651e43e4d82949&signature=3fc1599195aaf828bcef34e13fc2d69e6f60aff0e1d30005ed6ba7fb3bf59e0e&slot=0,(323) 585-1928,1437 E Gage Ave,,Coffee & Tea,,Florence-Firestone,
KFC,https://www.yelp.com/adredir?ad_business_id=-AZ2kWMlpmYhIW_kPFMmLQ&campaign_id=uBAhzlk-qsFNsM3CsZHDEQ&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkfc-los-angeles-3&request_id=db651e43e4d82949&signature=91266b7a91c0e8dfc55d1a02b9002a376e7a2d8d8ef34bf0243f234961e49139&slot=1,(323) 936-8079,1244 S. La Brea Ave,,Chicken Wings,,Mid-Wilshire,
Tortas Ahogadas Guadalajara,https://www.yelp.com/biz/tortas-ahogadas-guadalajara-huntington-park,(323) 587-3115,6042 Santa Fe Ave,3.5,179,$Mexican,,51
Guajillo Restaurant,https://www.yelp.com/biz/guajillo-restaurant-huntington-park,(323) 835-6424,6480 Santa Fe Ave,4,70,$$Mexican,,52
Brigadier Sweets,https://www.yelp.com/biz/brigadier-sweets-los-angeles,(213) 281-1821,,5,11,"$$Desserts, Chocolatiers & Shops",Florence-Firestone,53
Tacos Gavilan,https://www.yelp.com/biz/tacos-gavilan-huntington-park,(323) 581-7309,2425 E Florence Ave,3.5,134,$Mexican,,54
Mariscos Manzanillo,https://www.yelp.com/biz/mariscos-manzanillo-huntington-park,(323) 583-6634,8008 Santa Fe Ave,4.5,38,"$$Seafood, Mexican",,55
In-N-Out Burger,https://www.yelp.com/biz/in-n-out-burger-huntington-park-2,(800) 786-1000,6000 Pacific Blvd,3.5,213,"$Burgers, Fast Food",,56
El Granero Restaurant,https://www.yelp.com/biz/el-granero-restaurant-huntington-park,(323) 584-1000,6823 Seville Ave,4,71,$$Mexican,,57
Las Segovias Nicaraguan Restaurant,https://www.yelp.com/biz/las-segovias-nicaraguan-restaurant-huntington-park,(323) 582-0096,8014 Seville Ave,4,104,"$$Latin American, Nicaraguan",,58
Norigami,https://www.yelp.com/biz/norigami-los-angeles-6,Florence-Firestone,,4,21,"Japanese, Sushi Bars",,59
Gloria’s Pueblito,https://www.yelp.com/biz/glorias-pueblito-los-angeles-3,(323) 585-2047,1913 E Gage Ave,4.5,19,Mexican,,60
Sam’s Club,https://www.yelp.com/adredir?ad_business_id=MDT4sT3e7pn7bsoljX4NWQ&campaign_id=HxNRNqi8az5KNkU6kWpO6Q&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsams-club-south-gate-2&request_id=db651e43e4d82949&signature=4f52578ad1bfc37a6c48cd0dcd81fc156f0822bdaa60014b9a3e6d1dc971475a&slot=0,-3003,5871 Firestone Blvd,,International Grocery,,,
Sam’s Club,https://www.yelp.com/adredir?ad_business_id=MDT4sT3e7pn7bsoljX4NWQ&campaign_id=HxNRNqi8az5KNkU6kWpO6Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsams-club-south-gate-2&request_id=58977cd0fda9d1b8&signature=86706fedc190677c5e06f81429cee05e3ccb7ae00c4b2db27f191ef8c645cce1&slot=0,-3003,5871 Firestone Blvd,,Farmers Market,,,
Tanota Takoyaki,https://www.yelp.com/adredir?ad_business_id=pO1FnpTADBuZg1JJiTJfGA&campaign_id=jy326x0HTo9wwSWO4MGRBg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Ftanota-takoyaki-los-angeles-3&request_id=58977cd0fda9d1b8&signature=2bd7e5d3c88c4984c93071e13665853ab009ac0ce78f72f3d3148011aa5cad55&slot=1,(213) 626-0481,350 E 1st St,3.5,245,"Japanese, Street Vendors",Little Tokyo,
Hot Mariscos,https://www.yelp.com/biz/hot-mariscos-huntington-park-3,(323) 589-1588,2667 E Florence Ave,4,79,"$$Seafood, Cajun/Creole",,61
Carnitas El Momo,https://www.yelp.com/biz/carnitas-el-momo-los-angeles,(323) 627-8540,6015 S Avalon,5,17,$Street Vendors,Florence,62
Dino’s Chicken and Burgers,https://www.yelp.com/biz/dinos-chicken-and-burgers-huntington-park,(323) 585-4444,6135 Pacific Blvd,3.5,205,"$Mexican, Burgers, Chicken Wings",,63
Bull Kogi Korean Taco Truck,https://www.yelp.com/biz/bull-kogi-korean-taco-truck-los-angeles,(310) 399-7537,,3,97,"$Asian Fusion, Korean, Food Trucks",Florence-Firestone,64
Shakey’s Pizza Parlor,https://www.yelp.com/biz/shakeys-pizza-parlor-huntington-park-3,(323) 582-5421,2522 E Florence Ave,3.5,95,"$$Pizza, Buffets",,65
Palazzolo’s Gelato Truck,https://www.yelp.com/biz/palazzolos-gelato-truck-los-angeles,Florence-Firestone,,4,31,"$Food Stands, Ice Cream & Frozen Yogurt",,66
Bobo’s Hamburgers,https://www.yelp.com/biz/bobos-hamburgers-los-angeles,(323) 582-9978,1220 E Firestone Blvd,3.5,82,"$Burgers, Breakfast & Brunch",Florence-Firestone,67
Millan’s Ranchito Restaurant,https://www.yelp.com/biz/millans-ranchito-restaurant-huntington-park-3,(323) 587-9167,7410 Santa Fe Ave,4,48,"$$Mexican, Seafood, Karaoke",,68
Las Islas De Coral,https://www.yelp.com/biz/las-islas-de-coral-huntington-park-2,(323) 589-0469,6909 Santa Fe Ave,3.5,75,$$Seafood,,69
Franklin D Roosevelt Park,https://www.yelp.com/biz/franklin-d-roosevelt-park-los-angeles,(323) 586-7201,7600 Graham Ave,4.5,20,"Parks, Playgrounds, Recreation Centers",Florence-Firestone,70
Sweet N Abundance,https://www.yelp.com/adredir?ad_business_id=ZGuo24mPhFqjfNI25AoHww&campaign_id=YyUvcYUgYkaDbic7QIJTkw&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsweet-n-abundance-south-gate-3&request_id=58977cd0fda9d1b8&signature=c680fe51f9472b311c5b65d6805cd9ce0c16960b40d515f1cd982b613f35c8e2&slot=0,(323) 420-6543,3727 Firestone Blvd,,Juice Bars & Smoothies,,,
KFC,https://www.yelp.com/adredir?ad_business_id=-AZ2kWMlpmYhIW_kPFMmLQ&campaign_id=sjq2agorisiRHaqmcrFkrg&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fkfc-los-angeles-3&request_id=3b09ecdfc8ed7ab8&signature=fa94086fc9dcfd34e3924ac548f9d798bba4201f699ca0c2eb32f7e3db1ef410&slot=0,(323) 936-8079,1244 S. La Brea Ave,,Chicken Wings,,Mid-Wilshire,
Le Grand,https://www.yelp.com/adredir?ad_business_id=W-znmhcbAFwoDtqLCmc9JA&campaign_id=EHGNs7dzWtzdR3_jagr5Tw&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fle-grand-los-angeles&request_id=3b09ecdfc8ed7ab8&signature=3e4f00e008e6846857ce2fc34f1fe531aa14f86864fbbd09a14d76fe10607d3b&slot=1,(213) 214-7514,707 S Grand Ave,4.5,314,"Modern European, Wine Bars, Seafood",Downtown,
Di’ Pietro Pizzeria,https://www.yelp.com/biz/di-pietro-pizzeria-huntington-park-2,(323) 476-7096,7104 Pacific Blvd,4.5,38,"$Pizza, Italian",,71
Wing Society,https://www.yelp.com/biz/wing-society-los-angeles,(424) 382-9023,Serving Los Angeles and the Surrounding Area,4,20,"Chicken Wings, Caterers, Food Trucks",Serving Los Angeles and the Surrounding Area,72
TJ’s Tacos LA,https://www.yelp.com/biz/tjs-tacos-la-los-angeles-2,(818) 448-0405,,5,8,"$Street Vendors, Vietnamese",Florence-Firestone,73
Churros La Paloma,https://www.yelp.com/biz/churros-la-paloma-los-angeles,(213) 924-2649,,4.5,12,Street Vendors,Florence-Firestone,74
New Time Noodles,https://www.yelp.com/biz/new-time-noodles-huntington-park,(323) 588-2401,2620 Clarendon Ave,4.5,27,"$Noodles, Korean",,75
Mi Pueblo Restaurant y Pupuseria,https://www.yelp.com/biz/mi-pueblo-restaurant-y-pupuseria-los-angeles-2,(323) 310-5184,1341 E Florence Ave,4.5,14,"$Mexican, Breakfast & Brunch, Salvadoran",Florence-Firestone,76
Birria Michoacana,https://www.yelp.com/biz/birria-michoacana-los-angeles,(323) 200-7396,83RD And Compton Ave,5,11,"$Food Trucks, Mexican",Florence-Firestone,77
Tasty Thai,https://www.yelp.com/biz/tasty-thai-huntington-park,(323) 582-7770,2607 E Gage Ave,3.5,98,$Thai,,78
Los Pochos,https://www.yelp.com/biz/los-pochos-huntington-park,(323) 484-9204,2667 E Florence Ave,4.5,37,"$Mexican, Salvadoran, American (New)",,79
Pollos A La Brasa Los Andes,https://www.yelp.com/biz/pollos-a-la-brasa-los-andes-south-gate,(323) 584-5145,8330 Long Beach Blvd,4,79,"$$Peruvian, Latin American",,80
R Bar,https://www.yelp.com/adredir?ad_business_id=7SCpCvd8-RDDvQhSmNe5dQ&campaign_id=7zvPb9VnTeIWtXy65Ep5tA&click_origin=search_results&placement=below_search&placement_slot=1&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fr-bar-los-angeles&request_id=3b09ecdfc8ed7ab8&signature=8162f0a666d8c2d41ecc8993ff396840e7c2b70f62758d67dc917a11409cb80d&slot=0,(213) 387-7227,3331 W 8th St,4,620,"Seafood, Lounges, American (New)",Wilshire Center,
Starbucks,https://www.yelp.com/adredir?ad_business_id=FkmmAZYN6o3gyE3FboqPHA&campaign_id=8yOkIT-TDS69S0Z0WAJP9Q&click_origin=search_results&placement=above_search&placement_slot=0&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fstarbucks-los-angeles-167&request_id=befc1ed62ef8cc28&signature=ab53c2bf7eb8cf441bd60efe034b0eab606c051228bf007deaef6b36be099caa&slot=0,(323) 585-1928,1437 E Gage Ave,,Coffee & Tea,,Florence-Firestone,
