business_name,rating,review_count,price_range,category,michelin_star,region,michelin_guide
Mi Vida Restaurante,4.0,807,$$,['Mexican'],0,Washington DC,0
Albi,4.5,61,,['Lebanese'],0,Washington DC,0
Lutèce,4.5,9,,"['French', 'Bars']",0,Washington DC,0
S&G Seafood House,4.5,31,$,['Seafood'],0,Washington DC,0
Roaming Rooster,4.5,24,,"['Chicken Shop', 'American (Traditional)']",0,Washington DC,0
ANKARA,4.0,653,$$,"['Mediterranean', 'Turkish']",0,Washington DC,0
Bun DC,4.5,76,,['Vietnamese'],0,Washington DC,0
Huacatay Peruvian Chicken,4.5,160,$,"['Peruvian', 'Chicken Shop']",0,Washington DC,0
Indigo,4.5,861,$$,['Indian'],0,Washington DC,1
Dolan Uyghur Restaurant,4.0,260,$$,"['Asian Fusion', 'Halal', 'Kebab']",0,Washington DC,0
Mazi,4.5,161,,['American (New)'],0,Washington DC,0
A Baked Joint,4.5,1912,$,"['Coffee & Tea', 'Breakfast & Brunch', 'Sandwiches']",0,Washington DC,0
Shouk,4.5,667,$$,"['Middle Eastern', 'Vegan', 'Kosher']",0,Washington DC,0
Del Mar,4.0,583,$$$,"['Spanish', 'Seafood', 'Cocktail Bars']",0,Washington DC,1
The Capital Burger,4.0,567,$$,"['Burgers', 'American (New)', 'Cocktail Bars']",0,Washington DC,0
Sababa,4.0,188,$$$,['Middle Eastern'],0,Washington DC,1
Right Proper Brewing Company,4.0,694,$$,"['Gastropubs', 'Breweries']",0,Washington DC,0
Yafa Grille,4.0,162,$,"['Middle Eastern', 'Mediterranean', 'Halal']",0,Washington DC,0
Pho 54 Noodle Bar,4.5,99,$$,"['Vietnamese', 'Soup']",0,Washington DC,0
Luke’s Lobster Farragut,4.5,197,$$,['Seafood'],0,Washington DC,0
Barcelona Wine Bar,4.0,1695,$$,"['Tapas/Small Plates', 'Wine Bars', 'Spanish']",0,Washington DC,0
St. Anselm,4.5,458,$$,"['Steakhouses', 'American (New)', 'Breakfast & Brunch']",0,Washington DC,0
DCG - District Chicken & Gyro,5.0,392,$$,"['Halal', 'Middle Eastern', 'Mediterranean']",0,Washington DC,0
Rumi’s Kitchen,4.5,70,,['Persian/Iranian'],0,Washington DC,0
Byblos Deli,4.5,302,$,['Middle Eastern'],0,Washington DC,0
Bandit Taco,4.0,186,$,['Mexican'],0,Washington DC,0
Sweetpea’s Classic Soul Food,4.5,99,$$,['Southern'],0,Washington DC,0
KitchenCray - H Street,4.5,23,,"['Southern', 'Breakfast & Brunch']",0,Washington DC,0
ANJU,4.0,161,$$,['Korean'],0,Washington DC,0
Falafel Inc,5.0,564,$,"['Falafel', 'Vegetarian']",0,Washington DC,0
Mandu,4.0,789,$$,"['Korean', 'Bars']",0,Washington DC,0
Toro Toro,4.0,833,$$,['Latin American'],0,Washington DC,0
The Smith,4.0,932,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']",0,Washington DC,0
O-Ku Sushi DC,4.5,281,$$$,"['Sushi Bars', 'Japanese']",0,Washington DC,0
Manna Dosirak,5.0,56,,['Korean'],0,Washington DC,0
CIRCA at Navy Yard,4.5,210,$$,"['American (Traditional)', 'American (New)']",0,Washington DC,0
Bistrot Du Coin,4.0,1683,$$,"['French', 'Breakfast & Brunch', 'Desserts']",0,Washington DC,0
Ivy City SmokeHouse,3.5,529,$$,"['Seafood', 'Smokehouse', 'Bars']",0,Washington DC,0
Pow Pow,4.0,327,$$,"['Asian Fusion', 'Kosher']",0,Washington DC,0
Menya Hosaki,4.5,58,,"['Ramen', 'Noodles']",0,Washington DC,0
Bistro Aracosia,4.5,204,$$$,"['Afghan', 'Wine Bars']",0,Washington DC,0
Fuku,2.0,18,,['Chicken Shop'],0,Washington DC,0
CIRCA at Chinatown,4.5,279,$$,['American (New)'],0,Washington DC,0
Mercy Me,4.5,69,,"['American (New)', 'Cafes', 'Bars']",0,Washington DC,0
Purple Patch,4.5,835,$$,"['Filipino', 'American (Traditional)', 'Cocktail Bars']",0,Washington DC,0
Brookland’s Finest,4.0,561,$$,"['American (New)', 'Bars']",0,Washington DC,0
Agora,4.0,1208,$$,"['Mediterranean', 'Greek', 'Turkish']",0,Washington DC,0
Bandoola Bowl,5.0,275,$$,"['Salad', 'Burmese']",0,Washington DC,0
RASA,4.5,403,$$,['Indian'],0,Washington DC,0
Ted’s Bulletin,4.0,1703,$$,"['Breakfast & Brunch', 'American (New)', 'Comfort Food']",0,Washington DC,0
Ted’s Bulletin,4.0,2094,$$,"['American (New)', 'Breakfast & Brunch', 'Comfort Food']",0,Washington DC,0
Lei Musubi,5.0,4,,"['Hawaiian', 'Pop-Up Restaurants']",0,Washington DC,0
Backyard Smokespot BBQ,4.5,82,,"['Smokehouse', 'Barbeque']",0,Washington DC,0
Medium Rare,4.0,945,$$,"['Steakhouses', 'American (New)', 'Desserts']",0,Washington DC,0
Ambar,4.5,1283,$$,['Modern European'],0,Washington DC,1
King Street Oyster Bar,4.5,130,$$,"['Seafood', 'Breakfast & Brunch', 'American (Traditional)']",0,Washington DC,0
Emilie’s,4.0,122,,['American (New)'],0,Washington DC,0
Library Tavern,4.5,74,$$,"['Persian/Iranian', 'Middle Eastern', 'Hookah Bars']",0,Washington DC,0
Surfside Taco Stand,4.0,505,$$,"['Tex-Mex', 'Caribbean']",0,Washington DC,0
Cafe Fili,5.0,43,,"['Mediterranean', 'Tapas/Small Plates']",0,Washington DC,0
Mama Ayesha’s,4.0,524,$$,"['Middle Eastern', 'Mediterranean']",0,Washington DC,0
Queen’s English,4.0,106,,"['Hong Kong Style Cafe', 'Cocktail Bars']",0,Washington DC,0
Rasika,4.5,3111,$$$,['Indian'],0,Washington DC,1
Copycat Co,4.5,619,$$,"['Cocktail Bars', 'Chinese']",0,Washington DC,0
Boqueria Dupont,4.0,1239,$$$,"['Tapas Bars', 'Spanish']",0,Washington DC,0
DC Noodles,4.0,640,$$,['Noodles'],0,Washington DC,0
Arepa Zone,4.0,197,$$,['Venezuelan'],0,Washington DC,0
Cafe U,5.0,2,,['Cafes'],0,Washington DC,0
China Boy,4.0,419,$,['Chinese'],0,Washington DC,0
Vintage78,4.0,55,,"['Persian/Iranian', 'American (New)']",0,Washington DC,0
Taco City DC,4.5,174,$$,['Mexican'],0,Washington DC,0
Lapis,4.5,536,$$,"['Afghan', 'Cocktail Bars', 'Halal']",0,Washington DC,1
HipCityVeg,4.5,941,$$,"['Vegetarian', 'Vegan']",0,Washington DC,0
Ircia’s Kitchen Restaurant,4.5,6,,['Salvadoran'],0,Washington DC,0
Lucky Buns,4.0,379,$$,"['American (New)', 'Bars', 'Burgers']",0,Washington DC,0
Jackie - American Bistro,4.0,26,,['American (New)'],0,Washington DC,0
Shaw’s Tavern,3.5,667,$$,['Gastropubs'],0,Washington DC,0
Filomena Ristorante,4.0,2630,$$$,"['Italian', 'Wine Bars']",0,Washington DC,0
Charcoal Town Shawarma,4.0,230,$,"['Mediterranean', 'Middle Eastern', 'Kebab']",0,Washington DC,0
Bub and Pop’s,4.5,875,$$,"['Sandwiches', 'American (Traditional)', 'Delis']",0,Washington DC,0
"Joe’s Seafood, Prime Steak & Stone Crab",4.5,1456,$$$,"['Seafood', 'Steakhouses', 'Breakfast & Brunch']",0,Washington DC,0
14th St Cafe Asian Bistro,4.0,211,$$,['Chinese'],0,Washington DC,0
GCDC Grilled Cheese Bar,3.5,556,$$,"['American (Traditional)', 'Comfort Food']",0,Washington DC,0
Karibbean Kitchen,4.0,131,$$,['Caribbean'],0,Washington DC,0
Supra,4.0,450,$$,"['Bars', 'Georgian']",0,Washington DC,1
Call Your Mother,4.0,32,,"['Delis', 'Bagels']",0,Washington DC,0
Captain White’s Seafood,3.5,823,$$,"['Seafood Markets', 'Seafood']",0,Washington DC,0
Little Sesame,4.5,222,$$,"['Middle Eastern', 'Mediterranean']",0,Washington DC,0
Retrobottega,4.5,98,$$,"['Tapas/Small Plates', 'Italian']",0,Washington DC,0
Kura Revolving Sushi Bar,5.0,18,,"['Sushi Bars', 'Conveyor Belt Sushi']",0,Washington DC,0
Estuary,4.0,111,,['Seafood'],0,Washington DC,1
Glassey,4.5,32,,['Indian'],0,Washington DC,0
Grillfish DC,4.0,804,$$,['Seafood'],0,Washington DC,0
MANA,4.5,28,,"['Food Trucks', 'Hawaiian', 'Pop-Up Restaurants']",0,Washington DC,0
Hazel,4.0,352,$$$,"['American (New)', 'Mediterranean', 'Turkish']",0,Washington DC,1
BlackSalt,4.0,933,$$$,"['Seafood', 'American (New)']",0,Washington DC,1
Milk & Honey,3.5,104,$$,"['American (New)', 'Bars']",0,Washington DC,0
Shawarma Hut,4.0,31,,"['Mediterranean', 'Halal', 'Pakistani']",0,Washington DC,0
JINYA Ramen Bar,4.0,815,$$,"['Ramen', 'Izakaya']",0,Washington DC,0
District Rico,4.0,267,$$,['Peruvian'],0,Washington DC,0
Iron Gate,4.0,621,$$$,"['American (New)', 'Greek']",0,Washington DC,1
Butter Chicken Company 2,4.5,49,,['Indian'],0,Washington DC,0
Grazie Grazie,4.5,166,$$,"['Salad', 'Sandwiches']",0,Washington DC,0
Seven Reasons,4.5,217,$$$,"['Latin American', 'Cocktail Bars']",0,Washington DC,1
Timber Pizza Company,4.5,459,$$,['Pizza'],0,Washington DC,0
Creole on 14th,3.5,59,,['Cajun/Creole'],0,Washington DC,0
Good Stuff Eatery,3.5,1899,$$,['Burgers'],0,Washington DC,0
Nando’s PERi-PERi,4.0,168,$$,"['Chicken Shop', 'Portuguese', 'South African']",0,Washington DC,0
Tail Up Goat,4.5,677,$$$,"['Cocktail Bars', 'American (New)', 'Italian']",1,Washington DC,1
FishScale,4.5,114,$$,"['Burgers', 'Seafood', 'Fish & Chips']",0,Washington DC,0
Crab Boss,4.0,45,,"['Seafood', 'Cajun/Creole']",0,Washington DC,0
Primrose,4.0,142,$$,"['French', 'Bars', 'Comfort Food']",0,Washington DC,1
Fogo de Chão Brazilian Steakhouse,4.0,1857,$$$,"['Brazilian', 'Steakhouses']",0,Washington DC,0
Lasing Na Baboy,4.5,4,,['Filipino'],0,Washington DC,0
Roaming Rooster,4.5,168,$$,"['Food Trucks', 'Chicken Shop', 'Sandwiches']",0,Washington DC,0
Mari Vanna,4.0,536,$$$,"['Russian', 'Modern European', 'Venues & Event Spaces']",0,Washington DC,0
Ghostburger,4.0,27,,"['Burgers', 'Sandwiches', 'American (Traditional)']",0,Washington DC,0
Gogi Yogi,3.5,156,$$,"['Korean', 'Barbeque']",0,Washington DC,0
Toki Underground,4.0,2250,$$,['Ramen'],0,Washington DC,1
Old Europe,4.5,298,$$,"['German', 'Diners', 'Salad']",0,Washington DC,0
Espita,4.0,561,$$,"['Mexican', 'Latin American']",0,Washington DC,0
Dubliner Restaurant & Pub,3.5,628,$$,"['Irish', 'Irish Pub', 'Venues & Event Spaces']",0,Washington DC,0
Pho 12,4.0,117,$$,['Vietnamese'],0,Washington DC,0
Bun’d Up,4.5,65,$$,['Asian Fusion'],0,Washington DC,0
RPM Italian,4.0,1229,$$$,['Italian'],0,Washington DC,0
Rice Bar,4.0,143,$$,"['Korean', 'Delis', 'Noodles']",0,Washington DC,0
Raku,4.0,242,$$,"['Sushi Bars', 'Asian Fusion']",0,Washington DC,0
Hi/Fi Taco,4.0,3,,['Mexican'],0,Washington DC,0
Lavagna,4.0,691,$$,['Italian'],0,Washington DC,1
Tiger Fork,4.0,595,$$,"['Chinese', 'Hong Kong Style Cafe', 'Cocktail Bars']",0,Washington DC,1
Jam Doung Style Cuisine,4.0,183,$,['Caribbean'],0,Washington DC,0
La Vie,4.0,487,$$$,"['Seafood', 'Cocktail Bars']",0,Washington DC,0
Cava Mezze - DC,4.0,1400,$$$,"['Greek', 'Mediterranean']",0,Washington DC,0
Due South,3.5,548,$$,"['Southern', 'Barbeque']",0,Washington DC,0
Shawarma District,4.5,43,$,"['Mediterranean', 'Salad', 'Wraps']",0,Washington DC,0
Moh Moh Licious,4.5,78,$,"['Himalayan/Nepalese', 'Asian Fusion']",0,Washington DC,0
The Best Sandwich Place,4.5,56,$,"['Breakfast & Brunch', 'Sandwiches', 'Wraps']",0,Washington DC,0
Pho Viet,4.0,710,$$,['Vietnamese'],0,Washington DC,0
The Capital Grille,4.5,883,$$$,"['Steakhouses', 'Seafood', 'Wine Bars']",0,Washington DC,0
Hitching Post,4.0,269,$$,"['Southern', 'Soul Food', 'Tapas/Small Plates']",0,Washington DC,0
Poke Papa,4.5,749,$$,"['Poke', 'Hawaiian']",0,Washington DC,0
Little Miner Taco,4.0,323,$$,"['Tacos', 'Latin American']",0,Washington DC,0
Haikan,4.0,462,$$,['Ramen'],0,Washington DC,0
Benitos Place,5.0,74,$$,"['Latin American', 'Honduran']",0,Washington DC,0
Melange Burger,4.5,15,,['Burgers'],0,Washington DC,0
Pappe,4.0,300,$$,['Indian'],0,Washington DC,0
El Sol Restaurant & Tequileria,4.0,529,$$,"['Mexican', 'Breakfast & Brunch', 'Beer Bar']",0,Washington DC,0
CHIKO,4.5,312,$$,"['Chinese', 'Korean']",0,Washington DC,0
Bistro Cacao,4.0,663,$$$,"['French', 'Brasseries']",0,Washington DC,0
Duke’s Grocery,4.0,1136,$$,"['Pubs', 'Breakfast & Brunch', 'Beer Bar']",0,Washington DC,0
Anafre,4.5,48,,['Mexican'],0,Washington DC,0
Emmy Squared - Shaw,4.5,109,$$,"['Pizza', 'American (Traditional)']",0,Washington DC,0
Brick Lane,4.0,519,$$,"['Breakfast & Brunch', 'American (New)']",0,Washington DC,0
Henry’s Soul Cafe,4.0,181,$,"['Southern', 'Soul Food']",0,Washington DC,0
Maizal South American Street Food,4.5,39,$,['Latin American'],0,Washington DC,0
Astoria DC,4.5,112,$$,"['Szechuan', 'Cocktail Bars']",0,Washington DC,1
BKK Cookshop,4.0,219,$$,['Thai'],0,Washington DC,0
Hando Medo,4.0,312,$$,"['Sushi Bars', 'Japanese']",0,Washington DC,0
Mikko,4.5,96,$$,"['Scandinavian', 'Cafes']",0,Washington DC,0
Cafe Berlin,4.0,418,$$,['German'],0,Washington DC,0
Café Divan,3.5,349,$$,"['Turkish', 'Mediterranean', 'Halal']",0,Washington DC,0
SUNdeVICH,4.0,567,$$,['Sandwiches'],0,Washington DC,0
Busboys and Poets - 14th and V,4.0,2332,$$,"['Sandwiches', 'Salad', 'Burgers']",0,Washington DC,0
El Chalán,4.0,568,$$,['Peruvian'],0,Washington DC,0
Al Volo Trattoria & Bar,4.5,96,$$,"['Italian', 'Salad', 'Wine Bars']",0,Washington DC,0
Mezcalero,4.0,284,$$,"['Mexican', 'Cocktail Bars', 'Diners']",0,Washington DC,0
Masala Story,4.5,207,$$,['Indian'],0,Washington DC,0
Brasserie Beck,4.0,1380,$$$,"['Belgian', 'Modern European']",0,Washington DC,0
Logan Tavern,4.0,872,$$,"['American (New)', 'Sports Bars', 'American (Traditional)']",0,Washington DC,0
Uzu,4.5,87,$$,['Ramen'],0,Washington DC,0
Akira Ramen & Izakaya DC,4.5,49,$$,['Ramen'],0,Washington DC,0
City Kabob and Curry House - Washington,4.5,138,$$,"['Pakistani', 'Indian', 'Halal']",0,Washington DC,0
Barrel,4.5,754,$$,"['American (New)', 'Cocktail Bars', 'Breakfast & Brunch']",0,Washington DC,0
Cheba Hut Toasted Subs - Wicker Park,5.0,13,,"['Sandwiches', 'American (Traditional)', 'Beer Bar']",0,Chicago,0
Au Cheval,4.5,7220,$$,"['Bars', 'American (Traditional)']",0,Chicago,1
The Purple Pig,4.0,7211,$$,"['Tapas/Small Plates', 'Mediterranean', 'Breakfast & Brunch']",0,Chicago,1
Girl & the Goat,4.5,8688,$$$,"['American (New)', 'Bakeries', 'Coffee & Tea']",0,Chicago,0
Little Goat,4.0,4590,$$,['Diners'],0,Chicago,0
Penumbra,5.0,575,$$,"['Wine Bars', 'Seafood', 'Steakhouses']",0,Chicago,0
Serai,4.0,596,$$,"['Malaysian', 'Asian Fusion', 'Desserts']",0,Chicago,0
Smoque BBQ,4.5,4174,$$,['Barbeque'],0,Chicago,1
etta,4.5,642,$$,"['Italian', 'American (New)', 'Breakfast & Brunch']",0,Chicago,1
The Perch,4.5,56,,"['Breweries', 'American (New)']",0,Chicago,0
Aba,4.5,813,$$$,"['Mediterranean', 'Tapas/Small Plates']",0,Chicago,0
Summer House Santa Monica,4.0,2391,$$,['American (Traditional)'],0,Chicago,0
Greek Islands Restaurant,4.0,1864,$$,"['Greek', 'Mediterranean']",0,Chicago,0
Cafe Ba-Ba-Reeba!,4.0,4141,$$,"['Spanish', 'Tapas Bars', 'Venues & Event Spaces']",0,Chicago,0
Avec,4.5,2179,$$$,"['French', 'Mediterranean']",0,Chicago,1
Little Bad Wolf,4.5,1580,$$,"['American (Traditional)', 'Beer Bar', 'Cocktail Bars']",0,Chicago,0
Mother Cluckers Kitchen - Chicago,4.5,810,$$,"['Southern', 'American (Traditional)']",0,Chicago,0
Qing Xiang Yuan Dumplings,4.0,983,$$,"['Barbeque', 'Dim Sum']",0,Chicago,0
Bienmesabe,4.0,452,$$,['Venezuelan'],0,Chicago,0
Maple & Ash,4.5,1433,$$$$,"['Steakhouses', 'Seafood', 'Breakfast & Brunch']",0,Chicago,1
Portillo’s Hot Dogs,4.0,5615,$,"['Hot Dogs', 'Salad', 'Burgers']",0,Chicago,0
Ema,4.5,1031,$$,"['Mediterranean', 'Tapas/Small Plates']",0,Chicago,0
"Joe’s Seafood, Prime Steak & Stone Crab",4.5,2490,$$$,"['Seafood', 'Steakhouses']",0,Chicago,0
Aloha Eats,4.0,962,$$,"['Hawaiian', 'Barbeque']",0,Chicago,0
KFire,5.0,49,,"['Korean', 'Barbeque', 'Salad']",0,Chicago,0
Forbidden Root,4.5,473,$$,"['Brewpubs', 'Tapas/Small Plates', 'Cocktail Bars']",0,Chicago,0
RAMEN-SAN,4.0,2280,$$,['Ramen'],0,Chicago,0
Sapori Trattoria,4.5,2258,$$,"['Italian', 'Desserts']",0,Chicago,0
Crisp,4.5,3192,$$,"['Korean', 'Chicken Wings']",0,Chicago,0
Lawn Restaurant - Hamburger,5.0,24,,"['Cheesesteaks', 'Burgers', 'Waffles']",0,Chicago,0
Giant,4.5,455,$$$,"['American (New)', 'Beer Bar', 'Wine Bars']",0,Chicago,1
Cafe Istanbul,4.5,154,$$,"['Turkish', 'Mediterranean']",0,Chicago,0
Kennedy Rooftop,4.0,61,,"['Cocktail Bars', 'American (New)']",0,Chicago,0
JJ Thai Street Food,4.5,367,$$,['Thai'],0,Chicago,0
Doc B’s Restaurant + Bar,4.5,782,$$,"['American (New)', 'Bars']",0,Chicago,0
Happy Lamb Hot Pot,4.5,531,$$,"['Mongolian', 'Hot Pot', 'Chinese']",0,Chicago,0
Cabra,4.0,411,$$$,['Peruvian'],0,Chicago,1
The Gage,4.0,2865,$$,"['Gastropubs', 'American (New)', 'Breakfast & Brunch']",0,Chicago,1
HaiSous Vietnamese Kitchen,4.0,394,$$,['Vietnamese'],0,Chicago,0
Small Cheval,4.5,1146,$$,"['Burgers', 'American (Traditional)']",0,Chicago,0
Del Seoul,4.5,2101,$,"['Korean', 'Asian Fusion', 'American (New)']",0,Chicago,0
Amaru,5.0,140,,"['Latin American', 'Caribbean', 'Cocktail Bars']",0,Chicago,0
Doc B’s Restaurant + Bar,4.5,801,$$,"['American (New)', 'Bars']",0,Chicago,0
Arbella,4.5,447,$$,"['Tapas/Small Plates', 'Cocktail Bars', 'American (New)']",0,Chicago,0
The Warbler,4.5,265,$$,['American (New)'],0,Chicago,1
Landbirds,4.5,295,$$,"['Chicken Wings', 'Asian Fusion']",0,Chicago,0
Alinea,4.5,2265,$$$$,"['American (New)', 'Modern European']",3,Chicago,1
Athenian Room,4.0,755,$$,"['Greek', 'Mediterranean']",0,Chicago,0
Crazy Bird,4.5,129,$,"['Chicken Wings', 'American (Traditional)']",0,Chicago,0
Tejanos,4.5,14,,['Tex-Mex'],0,Chicago,0
Perilla Korean American Fare,4.5,130,,"['Korean', 'Barbeque', 'Asian Fusion']",0,Chicago,0
Three Dots and a Dash,4.0,3271,$$,"['Asian Fusion', 'Tiki Bars']",0,Chicago,0
True Food Kitchen,4.5,809,$$,"['American (New)', 'Vegetarian', 'Vegan']",0,Chicago,1
Boka,4.5,1452,$$$,['American (New)'],1,Chicago,1
Khepri Cafe,5.0,16,,['Cafes'],0,Chicago,0
Roost Chicken & Biscuits,4.0,299,$$,['Southern'],0,Chicago,0
Quartino Ristorante,4.0,4709,$$,"['Italian', 'Wine Bars']",0,Chicago,0
Shaw’s Crab House,4.0,2225,$$$,"['Seafood', 'Sushi Bars', 'Jazz & Blues']",0,Chicago,0
MingHin Cuisine,4.0,2287,$$,"['Seafood', 'Dim Sum', 'Cantonese']",0,Chicago,0
Jerky Jerk,4.0,50,,['Caribbean'],0,Chicago,0
Lao Peng You,4.0,77,$$,['Chinese'],0,Chicago,0
Portillo’s Hot Dogs,2.5,22,,"['Hot Dogs', 'Salad', 'Burgers']",0,Chicago,0
Lucy’s,4.0,164,$$,['American (Traditional)'],0,Chicago,0
Wildberry Pancakes and Cafe,4.5,7550,$$,"['Pancakes', 'Waffles', 'Cafes']",0,Chicago,0
Revival Food Hall,4.0,448,$$,['Food Court'],0,Chicago,0
Green Street Smoked Meats,4.5,1676,$$,"['Barbeque', 'Cocktail Bars', 'Beer Bar']",0,Chicago,0
Pinched on the River,4.5,122,$$,"['Mediterranean', 'Wine Bars']",0,Chicago,0
King Chicago Indian Cuisine,4.5,4,,['Indian'],0,Chicago,0
Mott St,4.0,783,$$,"['Asian Fusion', 'Bars']",0,Chicago,0
