name,url,phone,address,rating,review_count,neighborhood,price_range,category,region,michelin_star,michelin_guide
cantina verde,https://www.yelp.com/biz/cantina-verde-san-francisco-4,(415) 504-3457,388 Market St,3.5,272,Financial District,1.0,"['Breakfast & Brunch', 'Tacos']",California,0,0
elixiria,https://www.yelp.com/biz/elixiria-san-francisco,(628) 444-3149,25 Beale St,4.5,285,Financial District,2.0,"['Juice Bars & Smoothies', 'Breakfast & Brunch', 'Caterers']",California,0,0
kokkari estiatorio,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco,(415) 981-0983,200 Jackson St,4.5,4541,Financial District,3.0,"['Greek', 'Mediterranean']",California,0,1
barcha,https://www.yelp.com/biz/barcha-san-francisco,(415) 957-5463,28 Fremont St,4.0,501,Financial District,2.0,"['Mediterranean', 'Tapas/Small Plates']",California,0,0
humphry slocombe ice cream,https://www.yelp.com/biz/humphry-slocombe-ice-cream-san-francisco-4,(415) 550-6971,1 Ferry Bldg,4.5,1138,Embarcadero,1.0,['Ice Cream & Frozen Yogurt'],California,0,0
oasis grill,https://www.yelp.com/biz/oasis-grill-san-francisco,(415) 781-0313,91 Drumm St,4.0,1262,Financial District,2.0,"['Mediterranean', 'Desserts', 'Salad']",California,0,0
wayfare tavern,https://www.yelp.com/biz/wayfare-tavern-san-francisco-2,(415) 772-9060,558 Sacramento St,4.0,3941,Financial District,3.0,['American (Traditional)'],California,0,1
halal cart,https://www.yelp.com/biz/halal-cart-san-francisco,(628) 208-4052,425 Market St,4.0,494,Financial District,2.0,"['Halal', 'Food Stands', 'Sandwiches']",California,0,0
il canto cafe,https://www.yelp.com/biz/il-canto-cafe-san-francisco-7,(415) 202-3593,475 Sacramento St,4.5,326,Financial District,1.0,"['Coffee & Tea', 'Cafes', 'Breakfast & Brunch']",California,0,0
la fusión,https://www.yelp.com/biz/la-fusi%C3%B3n-san-francisco-2,(415) 781-0894,475 Pine St,4.5,1116,Financial District,2.0,"['Latin American', 'Comfort Food', 'Peruvian']",California,0,0
blue bottle coffee,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-10,(510) 653-3394,Located in Ferry Building Marketplace,4.0,1524,Located in Ferry Building Marketplace,1.0,['Coffee & Tea'],California,0,0
osha thai,https://www.yelp.com/biz/osha-thai-san-francisco-3,(415) 788-6742,4 Embarcadero Ctr,3.5,2387,Financial District,2.0,"['Thai', 'Asian Fusion']",California,0,0
r&g lounge,https://www.yelp.com/biz/r-and-g-lounge-san-francisco,(415) 982-7877,631 Kearny St,3.5,4483,Chinatown,2.0,"['Seafood', 'Cantonese']",California,0,0
chez beesen,https://www.yelp.com/biz/chez-beesen-san-francisco-6,(415) 773-1220,200 Pine St,4.0,455,Financial District,1.0,"['Sandwiches', 'Mexican', 'Mediterranean']",California,0,0
the bird,https://www.yelp.com/biz/the-bird-san-francisco,(415) 872-9825,115 New Montgomery St,4.0,1900,Financial District,1.0,"['Chicken Shop', 'Sandwiches']",California,0,0
roli roti gourmet rotisserie,https://www.yelp.com/biz/roli-roti-gourmet-rotisserie-san-francisco,(510) 780-0300,Serving San Francisco and the Surrounding Area,4.5,1469,Serving San Francisco and the Surrounding Area,2.0,"['Sandwiches', 'Food Trucks', 'Specialty Food']",California,0,0
golden boy pizza,https://www.yelp.com/biz/golden-boy-pizza-san-francisco,(415) 982-9738,542 Green St,4.5,3656,North Beach/Telegraph Hill,1.0,"['Pizza', 'Italian']",California,0,0
the grubbies,https://www.yelp.com/biz/the-grubbies-san-francisco-2,Financial District,303 Sacramento St,4.0,166,,2.0,"['Sushi Bars', 'Japanese', 'Food Stands']",California,0,0
sotto mare oysteria & seafood,https://www.yelp.com/biz/sotto-mare-oysteria-and-seafood-san-francisco,(415) 398-3181,Located in Dante Benedetti Hotel & Sro,4.5,3837,Located in Dante Benedetti Hotel & Sro,2.0,"['Seafood', 'Italian', 'Bars']",California,0,0
international smoke san francisco,https://www.yelp.com/biz/international-smoke-san-francisco-san-francisco-2,(415) 722-2138,301 Mission St,4.0,1271,Financial District,3.0,"['Barbeque', 'American (New)', 'Cocktail Bars']",California,0,0
front door cafe,https://www.yelp.com/biz/front-door-cafe-san-francisco,(415) 989-3244,1 Front St,4.0,283,Financial District,1.0,"['Sandwiches', 'American (Traditional)', 'Breakfast & Brunch']",California,0,0
the melt - embarcadero,https://www.yelp.com/biz/the-melt-embarcadero-san-francisco-3,(415) 813-6062,1 Embarcadero Ctr,3.5,676,Financial District,1.0,"['American (Traditional)', 'Sandwiches', 'Burgers']",California,0,0
tony's pizza napoletana,https://www.yelp.com/biz/tonys-pizza-napoletana-san-francisco,(415) 835-9888,1570 Stockton St,4.0,5218,North Beach/Telegraph Hill,2.0,"['Pizza', 'Italian', 'Cocktail Bars']",California,0,0
lao table,https://www.yelp.com/biz/lao-table-san-francisco,(415) 278-9991,149 2nd St,4.0,1095,Financial District,2.0,"['Laotian', 'Thai']",California,0,0
the melt - 455 market,https://www.yelp.com/biz/the-melt-455-market-san-francisco,(415) 287-9819,455 Market St,4.5,271,Financial District,2.0,"['American (New)', 'Burgers', 'Sandwiches']",California,0,0
good mong kok bakery,https://www.yelp.com/biz/good-mong-kok-bakery-san-francisco,(415) 397-2688,1039 Stockton St,4.0,2739,Chinatown,1.0,"['Bakeries', 'Dim Sum', 'Cantonese']",California,0,0
acme bread company,https://www.yelp.com/biz/acme-bread-company-san-francisco-2,(415) 288-2978,Located in Ferry Building Marketplace,4.5,861,Located in Ferry Building Marketplace,1.0,['Bakeries'],California,0,0
plentea,https://www.yelp.com/biz/plentea-san-francisco-2,(415) 757-0223,341 Kearny St,3.5,1985,Chinatown,1.0,"['Tea Rooms', 'Bubble Tea']",California,0,0
sushirrito,https://www.yelp.com/biz/sushirrito-san-francisco-55,(415) 544-9868,226 Kearny St,4.0,1530,Financial District,2.0,"['Japanese', 'Sushi Bars', 'Asian Fusion']",California,0,0
mama's on washington square,https://www.yelp.com/biz/mamas-on-washington-square-san-francisco,(415) 362-6421,1701 Stockton St,4.0,4291,North Beach/Telegraph Hill,2.0,['Breakfast & Brunch'],California,0,0
sens restaurant,https://www.yelp.com/biz/sens-restaurant-san-francisco,(415) 362-0645,4 Embarcadero Ctr,3.5,953,Financial District,2.0,"['Venues & Event Spaces', 'Mediterranean', 'Bars']",California,0,0
brenda's french soul food,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco-5,(415) 345-8100,652 Polk St,4.0,11055,Tenderloin,2.0,"['Breakfast & Brunch', 'Southern', 'Cajun/Creole']",California,0,0
miette patisserie & confiserie,https://www.yelp.com/biz/miette-patisserie-and-confiserie-san-francisco,(415) 837-0300,Located in Ferry Building Marketplace,4.0,1554,Located in Ferry Building Marketplace,2.0,"['Bakeries', 'Cupcakes']",California,0,0
coqueta,https://www.yelp.com/biz/coqueta-san-francisco,(415) 704-8866,The Embarcadero,4.0,2111,Embarcadero,3.0,"['Spanish', 'Tapas/Small Plates']",California,0,1
boulevard,https://www.yelp.com/biz/boulevard-san-francisco,(415) 543-6084,1 Mission St,4.0,2669,Financial District,3.0,['American (New)'],California,0,1
cowgirl creamery,https://www.yelp.com/biz/cowgirl-creamery-san-francisco-2,(415) 362-9350,1 Ferry Bldg,4.5,864,Embarcadero,2.0,"['Cheese Shops', 'Breakfast & Brunch', 'Cafes']",California,0,0
la mar cebichería peruana,https://www.yelp.com/biz/la-mar-cebicher%C3%ADa-peruana-san-francisco-4,(415) 397-8880,Pier 1 1/2 The Embarcadero,4.0,3804,Embarcadero,3.0,"['Latin American', 'Seafood', 'Peruvian']",California,0,0
gott's roadside,https://www.yelp.com/biz/gotts-roadside-san-francisco-8,(415) 318-3423,1 Ferry Building,3.5,2715,Embarcadero,2.0,"['Ice Cream & Frozen Yogurt', 'Salad', 'Burgers']",California,0,0
cafe madeleine,https://www.yelp.com/biz/cafe-madeleine-san-francisco,(415) 362-3332,300 California St,4.0,482,Financial District,2.0,"['Coffee & Tea', 'Bakeries', 'Sandwiches']",California,0,0
el porteño empanadas,https://www.yelp.com/biz/el-porte%C3%B1o-empanadas-san-francisco-4,(415) 513-4529,Located in Ferry Building Marketplace,4.0,796,Located in Ferry Building Marketplace,1.0,"['Argentine', 'Empanadas']",California,0,0
5a5 steak lounge,https://www.yelp.com/biz/5a5-steak-lounge-san-francisco-4,(415) 989-2539,244 Jackson St,4.0,2221,Financial District,3.0,"['Steakhouses', 'Bars']",California,0,0
muracci's japanese curry & grill,https://www.yelp.com/biz/muraccis-japanese-curry-and-grill-san-francisco,(415) 773-1101,307 Kearny St,4.0,1736,Chinatown,2.0,['Japanese Curry'],California,0,0
super duper burgers,https://www.yelp.com/biz/super-duper-burgers-san-francisco-3,(415) 407-8014,721 Market St,4.0,2763,Union Square,2.0,"['Burgers', 'American (Traditional)']",California,0,0
kirimachi ramen,https://www.yelp.com/biz/kirimachi-ramen-san-francisco-2,(415) 872-9171,3 Embarcadero Ctr,3.5,418,Financial District,2.0,"['Ramen', 'Noodles', 'Soup']",California,0,0
hops & hominy,https://www.yelp.com/biz/hops-and-hominy-san-francisco,(415) 373-6341,1 Tillman Pl,4.0,2116,Union Square,2.0,"['Southern', 'American (Traditional)', 'Bars']",California,0,0
trestle pop up at the vault,https://www.yelp.com/biz/trestle-pop-up-at-the-vault-san-francisco-3,(415) 772-0922,531 Jackson St,4.5,893,Financial District,3.0,['American (New)'],California,0,0
tacorea,https://www.yelp.com/biz/tacorea-san-francisco,(415) 484-8911,809 Bush St,4.5,1714,Lower Nob Hill,2.0,"['Mexican', 'Korean', 'Latin American']",California,0,0
the sentinel,https://www.yelp.com/biz/the-sentinel-san-francisco,(415) 769-8109,37 New Montgomery St,4.0,1288,Financial District,1.0,['Sandwiches'],California,0,0
liholiho yacht club,https://www.yelp.com/biz/liholiho-yacht-club-san-francisco-2,(415) 440-5446,871 Sutter St,4.5,2443,Lower Nob Hill,3.0,"['Bars', 'American (New)', 'Seafood']",California,0,1
curry up now food truck,https://www.yelp.com/biz/curry-up-now-food-truck-san-francisco,(650) 489-7850,225 Bush St,4.0,929,Financial District,1.0,"['Food Trucks', 'Indian']",California,0,0
samovar - yerba buena gardens,https://www.yelp.com/biz/samovar-yerba-buena-gardens-san-francisco-2,(415) 227-9400,730 Howard St,4.0,2425,SoMa,2.0,"['Tea Rooms', 'Venues & Event Spaces', 'Breakfast & Brunch']",California,0,0
per diem,https://www.yelp.com/biz/per-diem-san-francisco,(415) 989-0300,43 Sutter St,4.0,787,Financial District,2.0,"['American (New)', 'Cocktail Bars']",California,0,0
pagan idol,https://www.yelp.com/biz/pagan-idol-san-francisco,(415) 985-6375,375 Bush St,4.0,615,Financial District,2.0,"['Tiki Bars', 'Venues & Event Spaces']",California,0,0
royal exchange,https://www.yelp.com/biz/royal-exchange-san-francisco-4,(415) 956-1710,301 Sacramento St,3.5,550,Financial District,2.0,"['Sports Bars', 'American (New)', 'Venues & Event Spaces']",California,0,0
hrd,https://www.yelp.com/biz/hrd-san-francisco-4,(415) 543-2355,521A 3rd St,4.0,2495,South Beach,2.0,"['Korean', 'Asian Fusion', 'Mexican']",California,0,0
sam wo restaurant,https://www.yelp.com/biz/sam-wo-restaurant-san-francisco-3,(415) 989-8898,713 Clay St,4.0,1078,Chinatown,1.0,['Chinese'],California,0,0
il casaro pizzeria & mozzarella bar - north beach location,https://www.yelp.com/biz/il-casaro-pizzeria-and-mozzarella-bar-north-beach-location-san-francisco,(415) 677-9455,348 Columbus Ave,4.5,1222,North Beach/Telegraph Hill,2.0,"['Italian', 'Pizza']",California,0,0
mourad restaurant,https://www.yelp.com/biz/mourad-restaurant-san-francisco,(415) 660-2500,Located in 140 New Montgomery,4.5,1072,Located in 140 New Montgomery,3.0,"['Moroccan', 'Venues & Event Spaces', 'Bars']",California,1,1
golden gate fortune cookies,https://www.yelp.com/biz/golden-gate-fortune-cookies-san-francisco,(415) 781-3956,56 Ross Aly,4.5,996,Chinatown,1.0,['Bakeries'],California,0,0
harborview restaurant & bar,https://www.yelp.com/biz/harborview-restaurant-and-bar-san-francisco-2,(415) 399-1200,Located in Embarcadero Center,4.0,471,Located in Embarcadero Center,,"['Chinese', 'Lounges', 'Seafood']",California,0,0
101 california,https://www.yelp.com/biz/101-california-san-francisco-2,(415) 956-1060,101 California St,4.5,5,Financial District,,['Landmarks & Historical Buildings'],California,0,0
chong qing xiao mian,https://www.yelp.com/biz/chong-qing-xiao-mian-san-francisco,(415) 983-0888,915 Kearny St,4.0,851,Chinatown,2.0,"['Noodles', 'Szechuan']",California,0,0
trailblazer tavern - san francisco,https://www.yelp.com/biz/trailblazer-tavern-san-francisco-san-francisco-2,(415) 722-2138,350 Mission St,4.0,341,Financial District,,['Hawaiian'],California,0,0
zero zero,https://www.yelp.com/biz/zero-zero-san-francisco,(415) 348-8800,826 Folsom St,4.0,3303,SoMa,2.0,"['Pizza', 'Italian', 'Cocktail Bars']",California,0,1
locali mediterranean,https://www.yelp.com/biz/locali-mediterranean-san-francisco,(415) 399-9991,98 Battery St,4.0,240,Financial District,1.0,"['Greek', 'Mediterranean', 'Halal']",California,0,0
sunshine cafe,https://www.yelp.com/biz/sunshine-cafe-san-francisco,(415) 757-0328,100 Bush St,4.5,52,Financial District,1.0,"['Donuts', 'Coffee & Tea']",California,0,0
mazarine coffee,https://www.yelp.com/biz/mazarine-coffee-san-francisco-2,Union Square,720 Market St,4.0,805,,2.0,"['Coffee & Tea', 'Sandwiches', 'Breakfast & Brunch']",California,0,0
roy's restaurant,https://www.yelp.com/biz/roys-restaurant-san-francisco-3,(415) 777-0277,Located in 101 Second Street,4.0,2283,Located in 101 Second Street,3.0,"['Seafood', 'Asian Fusion', 'Hawaiian']",California,0,0
betty lou's seafood and grill,https://www.yelp.com/biz/betty-lous-seafood-and-grill-san-francisco,(415) 757-0569,318 Columbus Ave,4.5,776,North Beach/Telegraph Hill,2.0,"['Seafood', 'Steakhouses', 'Bars']",California,0,0
uno dos tacos,https://www.yelp.com/biz/uno-dos-tacos-san-francisco-3,(415) 974-6922,595 Market St,4.0,789,Financial District,1.0,['Mexican'],California,0,0
akiko's restaurant,https://www.yelp.com/biz/akikos-restaurant-san-francisco,(415) 397-3218,431 Bush St,4.0,1906,Financial District,3.0,"['Sushi Bars', 'Japanese']",California,0,0
kusakabe,https://www.yelp.com/biz/kusakabe-san-francisco,(415) 757-0155,584 Washington St,4.5,915,Financial District,4.0,"['Sushi Bars', 'Japanese']",California,0,1
cafe me,https://www.yelp.com/biz/cafe-me-san-francisco-2,(415) 813-0225,500 Washington St,4.5,297,Financial District,1.0,"['Coffee & Tea', 'Sandwiches', 'Breakfast & Brunch']",California,0,0
i-tea,https://www.yelp.com/biz/i-tea-san-francisco-3,(415) 463-7886,253 Kearny St,4.0,570,Financial District,1.0,"['Bubble Tea', 'Juice Bars & Smoothies', 'Desserts']",California,0,0
garaje,https://www.yelp.com/biz/garaje-san-francisco,(415) 644-0838,475 3rd St,4.0,1591,South Beach,2.0,"['Mexican', 'Burgers', 'Beer Bar']",California,0,0
rm 212,https://www.yelp.com/biz/rm-212-san-francisco,(415) 500-2780,690 Sacramento St,4.5,406,Financial District,2.0,"['Tapas Bars', 'Lounges', 'Asian Fusion']",California,0,0
good eats cafe,https://www.yelp.com/biz/good-eats-cafe-san-francisco,(415) 288-8612,200 Pine St,4.0,183,Financial District,1.0,['Cafes'],California,0,0
the barrel room,https://www.yelp.com/biz/the-barrel-room-san-francisco-3,(415) 956-6900,415 Sansome St,4.0,318,Financial District,2.0,"['Wine Bars', 'Cocktail Bars']",California,0,0
e&o kitchen and bar,https://www.yelp.com/biz/e-and-o-kitchen-and-bar-san-francisco,(415) 693-0303,314 Sutter St,4.0,1070,Union Square,2.0,"['Asian Fusion', 'Venues & Event Spaces']",California,0,0
north india restaurant,https://www.yelp.com/biz/north-india-restaurant-san-francisco,(415) 348-1234,123 Second St,4.0,1749,Financial District,2.0,['Indian'],California,0,0
china live,https://www.yelp.com/biz/china-live-san-francisco,(415) 788-8188,644 Broadway,3.5,1249,Chinatown,2.0,"['Chinese', 'Cocktail Bars', 'Asian Fusion']",California,0,0
asha tea house,https://www.yelp.com/biz/asha-tea-house-san-francisco,(415) 549-3688,17 Kearny St,4.0,632,Union Square,1.0,"['Coffee & Tea', 'Tea Rooms', 'Bubble Tea']",California,0,0
the coffee movement,https://www.yelp.com/biz/the-coffee-movement-san-francisco,(510) 828-4933,1030 Washington St,5.0,200,Nob Hill,2.0,['Coffee & Tea'],California,0,0
city view restaurant,https://www.yelp.com/biz/city-view-restaurant-san-francisco,(415) 398-2838,662 Commercial St,4.0,1333,Financial District,2.0,"['Dim Sum', 'Cantonese']",California,0,0
peet's coffee,https://www.yelp.com/biz/peets-coffee-san-francisco-16,(415) 593-8960,1 California,4.0,103,Financial District,1.0,['Coffee & Tea'],California,0,0
z & y restaurant,https://www.yelp.com/biz/z-and-y-restaurant-san-francisco-3,(415) 981-8988,655 Jackson St,3.5,1755,Chinatown,2.0,['Chinese'],California,0,0
tommaso ristorante italiano,https://www.yelp.com/biz/tommaso-ristorante-italiano-san-francisco-2,(415) 398-9696,1042 Kearny St,4.5,1615,Financial District,2.0,"['Italian', 'Pizza', 'Seafood']",California,0,0
lapisara eatery,https://www.yelp.com/biz/lapisara-eatery-san-francisco-2,(415) 655-3556,698 Post St,4.5,808,Lower Nob Hill,2.0,"['Breakfast & Brunch', 'Burgers', 'Thai']",California,0,0
louie's bar,https://www.yelp.com/biz/louies-bar-san-francisco,(415) 543-3540,55 Stevenson St,4.0,450,Financial District,2.0,"['American (Traditional)', 'Dive Bars']",California,0,0
golden star vietnamese restaurant,https://www.yelp.com/biz/golden-star-vietnamese-restaurant-san-francisco,(415) 398-1215,11 Walter U Lum Pl,4.0,1232,Chinatown,1.0,"['Vietnamese', 'Noodles', 'Soup']",California,0,0
caffe macaroni,https://www.yelp.com/biz/caffe-macaroni-san-francisco-4,(415) 956-9737,59 Columbus Ave,4.5,560,Financial District,2.0,['Italian'],California,0,0
delarosa,https://www.yelp.com/biz/delarosa-san-francisco-3,(415) 872-7363,37 Yerba Buena Ln,4.0,1303,Union Square,2.0,"['Pizza', 'Italian', 'Cocktail Bars']",California,0,0
one market restaurant,https://www.yelp.com/biz/one-market-restaurant-san-francisco-2,(415) 777-5577,1 Market St,3.5,1326,Financial District,3.0,['American (New)'],California,0,0
molinari delicatessen,https://www.yelp.com/biz/molinari-delicatessen-san-francisco,(415) 421-2337,373 Columbus Ave,4.5,1140,North Beach/Telegraph Hill,2.0,['Delis'],California,0,0
oren's hummus,https://www.yelp.com/biz/orens-hummus-san-francisco,(415) 915-6736,71 3rd St,4.0,653,Financial District,2.0,"['Mediterranean', 'Middle Eastern']",California,0,0
hunan home's restaurant,https://www.yelp.com/biz/hunan-homes-restaurant-san-francisco,(415) 982-2844,622 Jackson St,4.0,2189,Chinatown,2.0,['Chinese'],California,0,0
bob's donuts & pastry shop,https://www.yelp.com/biz/bobs-donuts-and-pastry-shop-san-francisco,(415) 776-3141,1621 Polk St,4.5,3100,Nob Hill,1.0,"['Bakeries', 'Donuts']",California,0,0
the italian homemade company,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-8,(415) 712-8874,716 Columbus Ave,4.5,1546,Russian Hill,2.0,"['Italian', 'Pasta Shops', 'International Grocery']",California,0,0
pushkin,https://www.yelp.com/biz/pushkin-san-francisco,(415) 901-3434,40 Belden Pl,4.5,201,Financial District,1.0,"['Russian', 'Ukrainian', 'Soup']",California,0,0
patriot house,https://www.yelp.com/biz/patriot-house-san-francisco,(415) 986-0797,2 Embarcadero Ctr,3.5,197,Financial District,2.0,"['Gastropubs', 'Sports Bars']",California,0,0
hogwash,https://www.yelp.com/biz/hogwash-san-francisco,(415) 361-5500,582 Sutter St,4.5,1055,Union Square,2.0,"['Gastropubs', 'Beer Bar']",California,0,0
yank sing,https://www.yelp.com/biz/yank-sing-san-francisco-2,(415) 781-1111,Located in Rincon Center,3.5,2578,Located in Rincon Center,3.0,"['Dim Sum', 'Cantonese']",California,0,1
stella pastry & cafe,https://www.yelp.com/biz/stella-pastry-and-cafe-san-francisco,(415) 986-2914,Located in Hotel Boheme,4.0,1335,Located in Hotel Boheme,1.0,"['Bakeries', 'Coffee & Tea']",California,0,0
hinodeya downtown,https://www.yelp.com/biz/hinodeya-downtown-san-francisco-3,(415) 200-6466,680 Clay St,4.5,185,Financial District,2.0,['Ramen'],California,0,0
starbucks reserve,https://www.yelp.com/biz/starbucks-reserve-san-francisco-11,(415) 543-1510,201 Mission St,4.5,87,Financial District,2.0,['Coffee & Tea'],California,0,0
delica,https://www.yelp.com/biz/delica-san-francisco,(415) 834-0344,Located in Ferry Building Marketplace,3.5,990,Located in Ferry Building Marketplace,2.0,"['Japanese', 'Delis', 'Sushi Bars']",California,0,0
cafe terminus,https://www.yelp.com/biz/cafe-terminus-san-francisco,(415) 960-8405,16 California St,4.0,171,Financial District,2.0,"['Cocktail Bars', 'Coffee & Tea']",California,0,0
ghirardelli ice cream & chocolate shop,https://www.yelp.com/biz/ghirardelli-ice-cream-and-chocolate-shop-san-francisco-3,(415) 536-7830,"Located in Palace Hotel, a Luxury Collection Hotel, San Francisco",4.0,556,"Located in Palace Hotel, a Luxury Collection Hotel, San Francisco",2.0,"['Ice Cream & Frozen Yogurt', 'Chocolatiers & Shops']",California,0,0
onigilly,https://www.yelp.com/biz/onigilly-san-francisco-14,(415) 590-2494,455 Market St,4.0,162,Financial District,1.0,['Japanese'],California,0,0
don pistos,https://www.yelp.com/biz/don-pistos-san-francisco-2,(415) 395-0939,510 Union St,4.0,1830,North Beach/Telegraph Hill,2.0,"['Mexican', 'Seafood', 'Salad']",California,0,0
rickhouse,https://www.yelp.com/biz/rickhouse-san-francisco,(415) 398-2827,246 Kearny St,4.0,1587,Financial District,2.0,"['Cocktail Bars', 'Venues & Event Spaces', 'Whiskey Bars']",California,0,0
novela,https://www.yelp.com/biz/novela-san-francisco-2,(415) 896-6500,662 Mission St,4.0,1098,Financial District,2.0,"['Cocktail Bars', 'Lounges', 'Venues & Event Spaces']",California,0,0
takoba sf,https://www.yelp.com/biz/takoba-sf-san-francisco,(415) 361-0448,Located in John Colins,4.0,543,Located in John Colins,2.0,"['Japanese', 'Sushi Bars']",California,0,0
mendocino farms,https://www.yelp.com/biz/mendocino-farms-san-francisco,(415) 321-2170,465 California St,4.0,205,Financial District,2.0,"['Sandwiches', 'Salad']",California,0,0
beanstalk cafe,https://www.yelp.com/biz/beanstalk-cafe-san-francisco-2,(415) 576-1966,724 Bush St,4.0,846,Union Square,1.0,"['Coffee & Tea', 'Cafes']",California,0,0
caffe ambrosia,https://www.yelp.com/biz/caffe-ambrosia-san-francisco,(415) 362-0538,14 Trinity Pl,4.5,314,Financial District,1.0,"['Ice Cream & Frozen Yogurt', 'Coffee & Tea', 'Juice Bars & Smoothies']",California,0,0
bask,https://www.yelp.com/biz/bask-san-francisco-2,(415) 392-2275,42 Columbus Ave,4.0,664,Financial District,2.0,"['Basque', 'Spanish', 'Tapas Bars']",California,0,0
ozumo,https://www.yelp.com/biz/ozumo-san-francisco,(415) 882-1333,Located in Harbor Court Hotel,4.0,2320,Located in Harbor Court Hotel,3.0,"['Sushi Bars', 'Japanese']",California,0,0
the shota,https://www.yelp.com/biz/the-shota-san-francisco,(628) 224-2074,115 Sansome St,4.5,161,Financial District,4.0,"['Japanese', 'Sushi Bars']",California,0,0
dragon papa dessert,https://www.yelp.com/biz/dragon-papa-dessert-san-francisco,(415) 539-7728,752 Grant Ave,4.5,370,Chinatown,2.0,['Desserts'],California,0,0
capo's by tony gemignani,https://www.yelp.com/biz/capos-by-tony-gemignani-san-francisco-2,(415) 986-8998,641 Vallejo St,4.5,836,North Beach/Telegraph Hill,2.0,"['Italian', 'Pizza', 'Whiskey Bars']",California,0,0
83 proof,https://www.yelp.com/biz/83-proof-san-francisco,(415) 554-5555,83 1st St,4.0,738,Financial District,2.0,"['Whiskey Bars', 'Cocktail Bars']",California,0,0
ryoko's,https://www.yelp.com/biz/ryokos-san-francisco,(415) 775-1028,619 Taylor St,4.0,3012,Lower Nob Hill,2.0,"['Sushi Bars', 'Japanese', 'Bars']",California,0,0
the baked bear,https://www.yelp.com/biz/the-baked-bear-san-francisco-12,(415) 993-2327,303 Columbus Ave,4.5,528,North Beach/Telegraph Hill,1.0,"['Desserts', 'Bakeries', 'Ice Cream & Frozen Yogurt']",California,0,0
leo's oyster bar,https://www.yelp.com/biz/leos-oyster-bar-san-francisco-2,(415) 872-9982,568 Sacramento St,4.0,400,Financial District,3.0,"['Bars', 'Seafood']",California,0,0
la fromagerie,https://www.yelp.com/biz/la-fromagerie-san-francisco-7,(415) 349-6092,101 Montgomery St,4.5,246,Financial District,2.0,"['Salad', 'Cheese Shops', 'Sandwiches']",California,0,0
baonecci ristorante,https://www.yelp.com/biz/baonecci-ristorante-san-francisco,(415) 989-1806,516 Green St,4.5,973,North Beach/Telegraph Hill,2.0,"['Pizza', 'Italian']",California,0,0
local edition,https://www.yelp.com/biz/local-edition-san-francisco,(415) 795-1375,691 Market St,4.0,1621,Financial District,2.0,"['Lounges', 'Cocktail Bars', 'Whiskey Bars']",California,0,0
good luck cafe and deli,https://www.yelp.com/biz/good-luck-cafe-and-deli-san-francisco,(415) 781-2328,621 Kearny St,4.5,408,Chinatown,1.0,"['Delis', 'Cafes', 'Sandwiches']",California,0,0
